UNIT FILE                                  STATE           PRESET
arp-ethers.service                         disabled        disabled
atd.service                                enabled         enabled
auditd.service                             enabled         enabled
autovt@.service                            alias           -
blk-availability.service                   disabled        disabled
bluetooth.service                          enabled         enabled
bolt.service                               static          -
chrony-wait.service                        disabled        disabled
chronyd-restricted.service                 disabled        disabled
chronyd.service                            enabled         enabled
cni-dhcp.service                           disabled        disabled
cockpit-motd.service                       static          -
cockpit-ws-user.service                    static          -
cockpit-wsinstance-http.service            static          -
cockpit-wsinstance-https-factory@.service  static          -
cockpit-wsinstance-https@.service          static          -
cockpit.service                            static          -
console-getty.service                      disabled        disabled
container-getty@.service                   static          -
cpupower.service                           disabled        disabled
crond.service                              enabled         enabled
dbus-broker.service                        enabled         enabled
dbus-org.bluez.service                     alias           -
dbus-org.fedoraproject.FirewallD1.service  alias           -
dbus-org.freedesktop.hostname1.service     alias           -
dbus-org.freedesktop.locale1.service       alias           -
dbus-org.freedesktop.login1.service        alias           -
dbus-org.freedesktop.nm-dispatcher.service alias           -
dbus-org.freedesktop.timedate1.service     alias           -
dbus.service                               alias           -
debug-shell.service                        disabled        disabled
dm-event.service                           static          -
dnf-makecache.service                      static          -
dnf-system-upgrade-cleanup.service         static          -
dnf-system-upgrade.service                 disabled        disabled
dracut-cmdline.service                     static          -
dracut-initqueue.service                   static          -
dracut-mount.service                       static          -
dracut-pre-mount.service                   static          -
dracut-pre-pivot.service                   static          -
dracut-pre-trigger.service                 static          -
dracut-pre-udev.service                    static          -
dracut-shutdown-onfailure.service          static          -
dracut-shutdown.service                    static          -
emergency.service                          static          -
firewalld.service                          enabled         enabled
fprintd.service                            static          -
fstrim.service                             static          -
getty@.service                             enabled         enabled
grub-boot-indeterminate.service            static          -
grub2-systemd-integration.service          static          -
htcacheclean.service                       static          -
httpd-init.service                         static          -
httpd.service                              enabled         disabled
httpd@.service                             disabled        disabled
initrd-cleanup.service                     static          -
initrd-parse-etc.service                   static          -
initrd-switch-root.service                 static          -
initrd-udevadm-cleanup-db.service          static          -
iprdump.service                            disabled        disabled
iprinit.service                            disabled        disabled
iprupdate.service                          disabled        disabled
irqbalance.service                         enabled         enabled
iscsi-init.service                         disabled        disabled
iscsi-onboot.service                       enabled         enabled
iscsi-shutdown.service                     static          -
iscsi-starter.service                      enabled         disabled
iscsi.service                              indirect        enabled
iscsid.service                             disabled        disabled
iscsiuio.service                           disabled        disabled
kdump.service                              enabled         enabled
kmod-static-nodes.service                  static          -
kpatch.service                             disabled        disabled
kvm_stat.service                           disabled        disabled
ldconfig.service                           static          -
ledmon.service                             disabled        disabled
libstoragemgmt.service                     enabled         enabled
logrotate.service                          static          -
lvm-devices-import.service                 disabled        disabled
lvm2-lvmpolld.service                      static          -
lvm2-monitor.service                       enabled         enabled
man-db-cache-update.service                static          -
man-db-restart-cache-update.service        disabled        disabled
mcelog.service                             enabled         enabled
mdadm-grow-continue@.service               static          -
mdadm-last-resort@.service                 static          -
mdcheck_continue.service                   static          -
mdcheck_start.service                      static          -
mdmon@.service                             static          -
mdmonitor-oneshot.service                  static          -
mdmonitor.service                          enabled         enabled
microcode.service                          enabled         enabled
mlocate-updatedb.service                   static          -
modprobe@.service                          static          -
multipathd.service                         enabled         enabled
named-setup-rndc.service                   static          -
named.service                              enabled         disabled
netavark-dhcp-proxy.service                disabled        disabled
netavark-firewalld-reload.service          disabled        disabled
NetworkManager-dispatcher.service          enabled         enabled
NetworkManager-wait-online.service         enabled         disabled
NetworkManager.service                     enabled         enabled
nftables.service                           disabled        disabled
nis-domainname.service                     enabled         enabled
nm-priv-helper.service                     static          -
nvmefc-boot-connections.service            enabled         enabled
nvmf-autoconnect.service                   disabled        disabled
nvmf-connect-nbft.service                  static          -
nvmf-connect@.service                      static          -
packagekit-offline-update.service          static          -
packagekit.service                         static          -
pam_namespace.service                      static          -
plymouth-halt.service                      static          -
plymouth-kexec.service                     static          -
plymouth-poweroff.service                  static          -
plymouth-quit-wait.service                 static          -
plymouth-quit.service                      static          -
plymouth-read-write.service                static          -
plymouth-reboot.service                    static          -
plymouth-start.service                     static          -
plymouth-switch-root-initramfs.service     static          -
plymouth-switch-root.service               static          -
podman-auto-update.service                 disabled        disabled
podman-clean-transient.service             disabled        disabled
podman-kube@.service                       disabled        disabled
podman-restart.service                     disabled        disabled
podman.service                             disabled        disabled
polkit.service                             static          -
psacct.service                             disabled        disabled
quotaon.service                            static          -
raid-check.service                         static          -
rc-local.service                           static          -
rdisc.service                              disabled        disabled
realmd.service                             static          -
rescue.service                             static          -
rpmdb-rebuild.service                      disabled        disabled
rsyslog.service                            enabled         enabled
selinux-autorelabel-mark.service           enabled         enabled
selinux-autorelabel.service                static          -
selinux-check-proper-disable.service       disabled        disabled
serial-getty@.service                      disabled        disabled
setroubleshootd.service                    static          -
smartd.service                             enabled         enabled
sshd-keygen@.service                       disabled        disabled
sshd.service                               enabled         enabled
sshd@.service                              static          -
sssd-autofs.service                        indirect        disabled
sssd-kcm.service                           indirect        disabled
sssd-nss.service                           indirect        disabled
sssd-pac.service                           indirect        disabled
sssd-pam.service                           indirect        disabled
sssd-ssh.service                           indirect        disabled
sssd-sudo.service                          indirect        disabled
sssd.service                               enabled         enabled
system-update-cleanup.service              static          -
systemd-ask-password-console.service       static          -
systemd-ask-password-plymouth.service      static          -
systemd-ask-password-wall.service          static          -
systemd-backlight@.service                 static          -
systemd-binfmt.service                     static          -
systemd-bless-boot.service                 static          -
systemd-boot-check-no-failures.service     disabled        disabled
systemd-boot-random-seed.service           static          -
systemd-boot-update.service                enabled         enabled
systemd-coredump@.service                  static          -
systemd-exit.service                       static          -
systemd-firstboot.service                  static          -
systemd-fsck-root.service                  static          -
systemd-fsck@.service                      static          -
systemd-growfs-root.service                static          -
systemd-growfs@.service                    static          -
systemd-halt.service                       static          -
systemd-hibernate-resume@.service          static          -
systemd-hibernate.service                  static          -
systemd-hostnamed.service                  static          -
systemd-hwdb-update.service                static          -
systemd-hybrid-sleep.service               static          -
systemd-initctl.service                    static          -
systemd-journal-catalog-update.service     static          -
systemd-journal-flush.service              static          -
systemd-journald.service                   static          -
systemd-journald@.service                  static          -
systemd-kexec.service                      static          -
systemd-localed.service                    static          -
systemd-logind.service                     static          -
systemd-machine-id-commit.service          static          -
systemd-modules-load.service               static          -
systemd-network-generator.service          enabled         enabled
systemd-pcrfs-root.service                 static          -
systemd-pcrfs@.service                     static          -
systemd-pcrmachine.service                 static          -
systemd-pcrphase-initrd.service            static          -
systemd-pcrphase-sysinit.service           static          -
systemd-pcrphase.service                   static          -
systemd-poweroff.service                   static          -
systemd-pstore.service                     disabled        enabled
systemd-quotacheck.service                 static          -
systemd-random-seed.service                static          -
systemd-reboot.service                     static          -
systemd-remount-fs.service                 enabled-runtime disabled
systemd-repart.service                     static          -
systemd-rfkill.service                     static          -
systemd-suspend-then-hibernate.service     static          -
systemd-suspend.service                    static          -
systemd-sysctl.service                     static          -
systemd-sysext.service                     disabled        disabled
systemd-sysupdate-reboot.service           indirect        disabled
systemd-sysupdate.service                  indirect        disabled
systemd-sysusers.service                   static          -
systemd-timedated.service                  static          -
systemd-tmpfiles-clean.service             static          -
systemd-tmpfiles-setup-dev.service         static          -
systemd-tmpfiles-setup.service             static          -
systemd-udev-settle.service                static          -
systemd-udev-trigger.service               static          -
systemd-udevd.service                      static          -
systemd-update-done.service                static          -
systemd-update-utmp-runlevel.service       static          -
systemd-update-utmp.service                static          -
systemd-user-sessions.service              static          -
systemd-vconsole-setup.service             static          -
systemd-volatile-root.service              static          -
teamd@.service                             static          -
tomcat.service                             enabled         disabled
tomcat@.service                            disabled        disabled
tuned.service                              enabled         enabled
udisks2.service                            enabled         enabled
usb_modeswitch@.service                    static          -
user-runtime-dir@.service                  static          -
user@.service                              static          -

230 unit files listed.
